Pitcher,Pitch Type,Pitch Vel (MPH),VBreak (In.),HBreak (In.)
 Brandon Workman,Knuckle Curve,78.7,60,5
 Brandon Workman,4-Seam Fastball,92.3,16,7
 Brandon Workman,Knuckle Curve,77.5,61,8
 Brandon Workman,Knuckle Curve,76.3,62,7
 Brandon Workman,Knuckle Curve,76.9,60,5
 Brandon Workman,Knuckle Curve,77.1,63,6
 Brandon Workman,Knuckle Curve,79.1,59,6
 Brandon Workman,Knuckle Curve,78.1,59,10
 Brandon Workman,Cutter,86.8,29,2
 Brandon Workman,Knuckle Curve,76.6,59,6
 Brandon Workman,Knuckle Curve,76.8,63,8
 Brandon Workman,Cutter,87.5,29,1
 Brandon Workman,4-Seam Fastball,90.4,18,7
 Brandon Workman,Knuckle Curve,75.6,63,9
 Justin Wilson,Cutter,91.4,17,2
 Justin Wilson,4-Seam Fastball,93.8,12,6
 Justin Wilson,4-Seam Fastball,94.9,13,8
 Justin Wilson,4-Seam Fastball,94.6,10,6
 Justin Wilson,4-Seam Fastball,94.1,12,7
 Justin Wilson,4-Seam Fastball,94.5,11,7
 Justin Wilson,Cutter,89.3,25,4
 Justin Wilson,4-Seam Fastball,94.6,12,6
 Justin Wilson,Slider,82,43,4
 Justin Wilson,Cutter,92.4,19,1
 Justin Wilson,4-Seam Fastball,94,12,6
 Justin Wilson,4-Seam Fastball,94.1,11,7
 Justin Wilson,4-Seam Fastball,93.6,10,6
 Justin Wilson,Cutter,90.1,20,1
 Justin Wilson,4-Seam Fastball,93.1,12,6
 Justin Wilson,4-Seam Fastball,92.4,13,5
 Justin Wilson,4-Seam Fastball,92.6,12,5
 Darwinzon Hernandez,Slider,84.9,39,4
 Darwinzon Hernandez,4-Seam Fastball,95.3,13,7
 Darwinzon Hernandez,4-Seam Fastball,94.6,19,6
 Darwinzon Hernandez,4-Seam Fastball,94.3,20,5
 Darwinzon Hernandez,Slider,85.4,32,2
 Darwinzon Hernandez,4-Seam Fastball,95.4,18,9
 Darwinzon Hernandez,4-Seam Fastball,96.7,13,7
 Darwinzon Hernandez,4-Seam Fastball,95.8,17,7
 Darwinzon Hernandez,4-Seam Fastball,95.1,16,5
 Darwinzon Hernandez,4-Seam Fastball,96.1,19,7
 Darwinzon Hernandez,4-Seam Fastball,95.6,16,6
 Darwinzon Hernandez,Slider,86.8,30,4
 Darwinzon Hernandez,4-Seam Fastball,96.7,16,5
 Darwinzon Hernandez,4-Seam Fastball,95.7,17,9
 Darwinzon Hernandez,4-Seam Fastball,96.8,18,9
