 first_name,last_name,pitcher_id,avg_speed,pitch_type_name,pitcher_break_z,pitcher_break_x
 Robbie,Ray,592662,94.8,4-Seamer,13.5,8.2
 Sean,Manaea,640455,92.1,Sinker,20.1,13.8
 Tyler,Mahle,641816,94,4-Seamer,13.9,12.1
 Kevin,Gausman,592332,94.6,4-Seamer,14.2,10.4
 J.A.,Happ,457918,91,4-Seamer,16.1,7.9
 Nick,Pivetta,601713,94.8,4-Seamer,10.8,5.1
 Walker,Buehler,621111,95.3,4-Seamer,12,3
 Gerrit,Cole,543037,97.7,4-Seamer,10.9,12
 Dylan,Cease,656302,96.7,4-Seamer,10.5,4.4
 Corbin,Burnes,669203,95.2,Cutter,18.7,4.2
 Zack,Wheeler,554430,97.2,4-Seamer,13.1,7.6
 Zach,Davies,605200,88,Sinker,22.6,14.5
 Andrew,Heaney,571760,92,4-Seamer,17.4,15.3
 Julio,Urias,628711,94.1,4-Seamer,13.4,3.7
 Steven,Matz,571927,94.5,Sinker,18.4,15
 Max,Scherzer,453286,94.3,4-Seamer,14.8,10.6
 Lucas,Giolito,608337,93.8,4-Seamer,12,6.7
 Antonio,Senzatela,622608,94.6,4-Seamer,19.3,4.9
 Carlos,Rodon,607074,95.4,4-Seamer,12.6,7.9
 Logan,Gilbert,669302,95.3,4-Seamer,12.1,5.4
 Brady,Singer,663903,93.7,Sinker,17.7,13.3
 German,Marquez,608566,94.8,4-Seamer,18.6,6
 Adrian,Houser,605288,93.6,Sinker,23.4,16
 Trevor,Rogers,669432,94.5,4-Seamer,16,11.1
 Nathan,Eovaldi,543135,96.8,4-Seamer,14.9,12.2
 Garrett,Richards,572070,94.3,4-Seamer,22,1.3
 Blake,Snell,605483,95.1,4-Seamer,11.6,5.8
 Triston,McKenzie,663474,92.1,4-Seamer,12.5,3.4
 Jon,Gray,592351,94.9,4-Seamer,19.2,12.9
 Wade,Miley,489119,85.4,Cutter,30.4,4
 Freddy,Peralta,642547,93.4,4-Seamer,14.9,7
 Kyle,Hendricks,543294,87.3,Sinker,26.5,13.7
 Rich,Hill,448179,88.1,4-Seamer,16.1,9.2
 Jameson,Taillon,592791,93.9,4-Seamer,13.2,3.4
 Jordan,Lyles,543475,93,4-Seamer,13.6,7
 Marcus,Stroman,573186,91.9,Sinker,27.9,9.8
 Chris,Paddack,663978,94.8,4-Seamer,13.1,9.5
 Kris,Bubic,663460,90.9,4-Seamer,17.7,6.2
 Zac,Gallen,668678,93.4,4-Seamer,14.1,3.4
 Chris,Flexen,623167,92.8,4-Seamer,13.5,2
 Aaron,Nola,605400,92.9,4-Seamer,17.6,13.3
 John,Means,607644,92.8,4-Seamer,11.9,6.7
 Mike,Minor,501985,90.9,4-Seamer,18.2,1.9
 Luis,Garcia,677651,93.3,4-Seamer,13,5
 Rich,Hill,448179,71.4,Curveball,65.4,20.1
 Charlie,Morton,450203,80.6,Curveball,52.5,16.6
 Cole,Irvin,608344,90.8,4-Seamer,16.6,8.2
 Tarik,Skubal,669373,94.3,4-Seamer,14.8,8.3
 Eduardo,Rodriguez,593958,92.6,4-Seamer,17.1,7.3
 Framber,Valdez,664285,92.5,Sinker,27.2,13
 Charlie,Morton,450203,95.5,4-Seamer,17.5,13
 James,Kaprielian,621076,93,4-Seamer,16.3,8.5
 Bryan,Shaw,543766,92.8,Cutter,25.2,4.7
 Cristian,Javier,664299,93.5,4-Seamer,13.4,7.9
 Mitch,Keller,656605,93.8,4-Seamer,15.3,6.6
 Marco,Gonzales,594835,88.4,Sinker,17.5,11
 Lance,Lynn,458681,94,4-Seamer,16,6
 Patrick,Corbin,571578,80.7,Slider,41.6,3.5
 Kevin,Gausman,592332,83.6,Splitter,37,12.3
 Adam,Wainwright,425794,73.4,Curveball,66.5,16.6
 Dallas,Keuchel,572971,87.7,Sinker,30.1,14.7
 Zack,Greinke,425844,88.9,4-Seamer,18,1.3
 Ian,Anderson,666120,94.6,4-Seamer,13.2,5.4
 Jake,Odorizzi,543606,92.2,4-Seamer,15.6,11.4
 Keegan,Akin,669211,92,4-Seamer,14.4,10.7
 Alex,Wood,622072,91.8,Sinker,20.9,16
 Erick,Fedde,607200,93.9,Sinker,20.9,10.1
 Max,Fried,608331,94,4-Seamer,18.1,1.4
 Drew,Smyly,592767,92.1,4-Seamer,14.1,6.8
 Ryan,Yarbrough,642232,81.9,Cutter,34.5,2.1
 Caleb,Smith,592761,91.4,4-Seamer,14.9,11.5
 Dane,Dunning,641540,90.4,Sinker,27,14.5
 Tyler,Mahle,641816,86.7,Slider,29.1,2.8
 Kyle,Gibson,502043,92.3,Sinker,24.5,14.9
 Jon,Gray,592351,86.7,Slider,32.7,2.6
 Robbie,Ray,592662,88.6,Slider,27.6,1
 Hyun Jin,Ryu,547943,89.9,4-Seamer,20.9,12
 Kolby,Allard,663465,91.5,4-Seamer,15.7,7.9
 Paolo,Espino,502179,89,4-Seamer,15.4,3.5
 Luis,Castillo,622491,88.3,Changeup,34.1,16.8
 Julio,Urias,628711,81.4,Curveball,42.3,15.8
 Lance,McCullers Jr.,621121,93.9,Sinker,24.9,13.7
 Tyler,Anderson,542881,90.6,4-Seamer,15.1,8.9
 Brandon,Woodruff,605540,96.5,4-Seamer,12.7,6.4
 Yu,Darvish,506433,86.6,Cutter,34.4,4.9
 Lucas,Giolito,608337,81.5,Changeup,28.1,10.2
 Jose,Berrios,621244,82.9,Curveball,43.6,15
 Jake,Arrieta,453562,91.4,Sinker,24,15.8
 Michael,Pineda,501381,90.6,4-Seamer,19,6.5
 Zach,Plesac,668676,92.8,4-Seamer,14.7,8.7
 Yusei,Kikuchi,579328,95.1,4-Seamer,14,10.2
