last_name,first_name,pitcher_id,avg_speed,pitch_type_name,pitcher_break_z,pitcher_break_x
Rodón,Carlos,607074,95.5,4-Seamer,12,6
Burnes,Corbin,669203,95.1,Cutter,18.6,4.4
Cole,Gerrit,543037,97.8,4-Seamer,10.5,10.4
Gilbert,Logan,669302,96.1,4-Seamer,11.9,6.4
Pivetta,Nick,601713,93.4,4-Seamer,10.9,5.1
McKenzie,Triston,663474,92.5,4-Seamer,11.6,3
Javier,Cristian,664299,93.8,4-Seamer,12.2,7.3
Strider,Spencer,675911,98.2,4-Seamer,10.7,5.1
Manaea,Sean,640455,91.2,Sinker,20.7,13.2
Valdez,Framber,664285,93.9,Sinker,24.2,14.4
Ryan,Joe,657746,92,4-Seamer,17.5,10.7
Gallen,Zac,668678,94.1,4-Seamer,13.5,3.4
Urquidy,José,664353,93.5,4-Seamer,11.7,7.7
Gausman,Kevin,592332,95,4-Seamer,13.1,10.5
Cease,Dylan,656302,87.4,Slider,35,4
Quantrill,Cal,615698,93.6,Sinker,16.3,12
Verlander,Justin,434378,95,4-Seamer,11.4,9.5
Giolito,Lucas,608337,92.6,4-Seamer,13.9,5.4
Snell,Blake,605483,95.8,4-Seamer,11.2,5.2
Singer,Brady,663903,93.8,Sinker,20.6,14.9
Urías,Julio,628711,93.1,4-Seamer,14.8,2.8
Cease,Dylan,656302,96.8,4-Seamer,10.3,3
Kopech,Michael,656629,94.9,4-Seamer,11.9,9.9
Davies,Zach,605200,89.6,Sinker,21.7,14.8
Ray,Robbie,592662,93.4,4-Seamer,13.4,6.7
Greene,Hunter,668881,98.9,4-Seamer,12.1,11.7
Lauer,Eric,641778,93.3,4-Seamer,14.6,9.8
Steele,Justin,657006,92.2,4-Seamer,19.4,1.5
Bubic,Kris,663460,91.9,4-Seamer,15.9,7.7
Corbin,Patrick,571578,92.9,Sinker,20,14.3
López,Pablo,641154,93.5,4-Seamer,18,4.5
Ray,Robbie,592662,87.2,Slider,28.3,1.5
Morton,Charlie,450203,81.3,Curveball,51.1,15.5
Kaprielian,James,621076,94,4-Seamer,15.5,7.6
